Module Code,Module Title,Credits,Term,ELE Link,prerequisites,Prerequisites,Coerequisites,Prerequisite_Codes,Coerequisite_Codes,Non_Requisite_Codes,Year
BEE3054,Advanced Mathematics for Economists,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEE3054&ay=2023/4&sys=0,,BEE2025 or BEE2026 or BEE1029 or BEE1034,None,"['BEE2025', 'BEE1029', 'BEE2026', 'BEE1034']",[],[],3
BEE3057,Labour Economics,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEE3057&ay=2023/4&sys=0,,BEE2025 and BEE2026,None,"['BEE2025', 'BEE2026']",[],[],3
BEE3058,Political Economics,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEE3058&ay=2023/4&sys=0,,BEE2025 and BEE2026,None,"['BEE2025', 'BEE2026']",[],[],3
BEE3059,Asset Pricing,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEE3059&ay=2023/4&sys=0,,(passed BEE1024 and BEE1023 and BEE2025) or (MTH2008 and MTH2011),Cannot be taken with BEA2018 or BEA3018 or BEA3008,"['BEE1024', 'BEE1023', 'BEE2025']",[],"['BEA3018', 'BEA2018', 'BEA3008']",3
BEE3063,Economics of Management Strategy,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEE3063&ay=2023/4&sys=0,,BEE1035 Basic Quantitative Methods or an A-Level in Mathematics or equivalent)BEE2038 Intermediate Microeconomics,Cannot be taken with BEE2025 or BEE2043,"['BEE2038', 'BEE1035']","['BEE2025', 'BEE2043']",[],3
BEE3066,Machine Learning for Economics,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEE3066&ay=2023/4&sys=0,,BEE2031 or BEE2041,,"['BEE2041', 'BEE2031']",[],[],3
BEE3068,Economics Dissertation,30.0,,https://business-school.exeter.ac.uk/module/?mod_code=BEE3068&ay=2023/4&sys=0,,BEE1038 or BEE2041 or BEE2032 (or one of the co-requisites: BEE3066 or BEE3071) (effective March 2024 for academic year 2024-2025).,BEE3066 or BEE3071 (or one of the pre-requisites: BEE1038 or BEE2041 or BEE2032) (effective March 2024 for academic year 2024-2025). Not to be taken with BUS3001.,"['BEE2041', 'BEE3071', 'BEE3066', 'BEE1038', 'BEE2032']","['BEE2041', 'BEE3071', 'BEE3066', 'BEE1038', 'BUS3001', 'BEE2032']",[],3
BEE3069,Behavioural Economics: Theory and Practice,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEE3069&ay=2023/4&sys=0,,"PrerequisitesFor Economics students: BEE1024 Mathematics for Economists AND BEE2025 Microeconomics IIFor non-Economics students (e.g. Maths, Physics, Engineering, Computer Science, Accounting and Finance): BEE1024 Mathematics for Economists or equivalentStudents with strong mathematical background (e.g. Mathematics, Computer Science, Data Science, Finance) interested in this module are encouraged to contact the convener even if you do not meet the pre-requisite requirements.",None,"['BEE1024', 'BEE2025']",[],[],3
BEE3070,Economic Analysis and Pandemics,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEE3070&ay=2023/4&sys=0,,"There are no pre-requisites for this module but students without some exposure to economics, basic econometrics and rigorous analytical thinking may find they need to do some additional reading.",None,[],[],[],3
BEE3071,Applied Econometrics for Business,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEE3071&ay=2023/4&sys=0,,Either BEE1022 or BEE1025 or BEA1012;andBEE2038 and BEE2039Please note this module cannot be taken by students who have previously studied BEE2025 and BEE2026.,,"['BEE2025', 'BEE2026', 'BEA1012', 'BEE1022', 'BEE1025']",[],[],3
BEE3072,Econometrics: Cause and Effect,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEE3072&ay=2023/4&sys=0,,BEE2031,None,['BEE2031'],[],[],3
BEE3073,Economics of Culture and Institutions,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEE3073&ay=2023/4&sys=0,,"BEE2038 and BEE2039, or BEE2025 and BEE2026",None,"['BEE2039', 'BEE2038', 'BEE2025', 'BEE2026']",[],[],3
BEE3074,Economics of Crime,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEE3074&ay=2023/4&sys=0,,BEE2025 or BEE2038.,None,"['BEE2025', 'BEE2038']",[],[],3
BEE3109,"Bitcoin, Money and Trust",15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEE3109&ay=2023/4&sys=0,,There are no pre-requisites for this module but students without either programming or economics experience may find they need to do some additional reading,,[],[],[],3
BEM1015,Marketing and Society,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEM1015&ay=2023/4&sys=0,,BEM1019,None,['BEM1019'],[],[],1
BEM1019,Fundamentals of Marketing,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEM1019&ay=2023/4&sys=0,,Module pre-requisites not found on the webpage.,Non-requisite: INT1012 Fundamentals of Marketing,[],[],[],1
BEM1021,Leadership and Teams,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEM1021&ay=2023/4&sys=0,,None,None,[],[],[],1
BEM1022,Introduction to Leadership Studies,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEM1022&ay=2023/4&sys=0,,None,None,[],[],[],1
BEM1023,Discovering Management,30.0,1 and 2,https://business-school.exeter.ac.uk/module/?mod_code=BEM1023&ay=2023/4&sys=0,,,Cannot be taken with BEM1028 or BEM1016 / BEM1016a,[],[],"['BEM1028', 'BEM1016']",1
BEM1024,Statistics for Business,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEM1024&ay=2023/4&sys=0,,This module is not available to Maths students.,Cannot be taken with BEE1022 or BEA1012 or BEE1025,[],[],"['BEE1025', 'BEE1022', 'BEA1012']",1
BEM1025,Programming for Business Analytics,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEM1025&ay=2023/4&sys=0,,None,None,[],[],[],1
BEM1027,The International Business Context,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEM1027&ay=2023/4&sys=0,,None,None,[],[],[],1
BEM1028,Introduction to Business and Management,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEM1028&ay=2023/4&sys=0,,This module is for students studying accountancy only.,None,[],[],[],1
BEM1034,Introduction to Innovation and Entrepreneurship,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEM1034&ay=2023/4&sys=0,,None,None,[],[],[],1
BEM1039,Impactful Innovation and Entrepreneurship,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEM1039&ay=2023/4&sys=0,,Module pre-requisites not found on the webpage.,None,[],[],[],1
BEM2007,Operations Management,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEM2007&ay=2023/4&sys=0,,None,None,[],[],[],2
BEM2016,Consumer Behaviour,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEM2016&ay=2023/4&sys=0,,BEM1019,None,['BEM1019'],[],[],2
BEM2021,Human Resource Management,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEM2021&ay=2023/4&sys=0,,BEM1023 or BEM1028.,None,"['BEM1028', 'BEM1023']",[],[],2
BEM2025,Marketing Communications: Strategies and Applications,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEM2025&ay=2023/4&sys=0,,BEM1019 Fundamentals of Marketing,None,['BEM1019'],[],[],2
BEM2027,Information Systems,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEM2027&ay=2023/4&sys=0,,None,none,[],[],[],2
BEM2031,Introduction to Business Analytics,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEM2031&ay=2023/4&sys=0,,"BEE1025 Statistics for Business and Management or BEE1022 Introduction to Statistics or BEA1012 Introduction to Statistics for Accountants or MTH1004 Probability, Statistics and Data or MTH2006 Statistical Modelling and Inference",,"['BEE1025', 'BEE1022', 'BEA1012']",[],[],2
BEM2033,Brands and Branding,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEM2033&ay=2023/4&sys=0,,BEM1019 Fundamentals of Marketing,,['BEM1019'],[],[],2
BEM2034,Digital Technologies and the Future of Work,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEM2034&ay=2023/4&sys=0,,none,none,[],[],[],2
BEM2035,Leading in International Contexts,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEM2035&ay=2023/4&sys=0,,None,None,[],[],[],2
BEM2036,Thinking Entrepreneurially,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEM2036&ay=2023/4&sys=0,,This module was previously namedCould You Be An Entrepreneur.It is not possible to enrol on this modules if you have previously completed BEM2010 Could You Be An Entrepreneur?,None,['BEM2010'],[],[],2
BEM2037,Leadership: Challenges and Practice,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEM2037&ay=2023/4&sys=0,,None,None,[],[],[],2
BEM2039,Business Analytics in Practice ,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEM2039&ay=2023/4&sys=0,,None,None,[],[],[],2
BEM2040,Database Technologies for Business Analytics,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEM2040&ay=2023/4&sys=0,,BEM1024 Statistics for Business OR BEE1025 Statistics for Business and Management OR BEE1022 Introduction to StatisticsBEM1025 Programming for Business Analytics,,"['BEM1024', 'BEE1025', 'BEE1022']",[],[],2
BEM2041,Marketing Analytics,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEM2041&ay=2023/4&sys=0,,BEM1025 Programming for Business AnalyticsBEM1024 Statistics for business or BEE1025 Statistics for Business and Management,,"['BEE1025', 'BEM1025']",[],[],2
BEM2044,Consumer and Market Analysis,30.0,1 and 2,https://business-school.exeter.ac.uk/module/?mod_code=BEM2044&ay=2023/4&sys=0,,BEM1019 Fundamentals of Marketing,None,['BEM1019'],[],[],2
BEM2045,History of Black Entrepreneurship,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEM2045&ay=2023/4&sys=0,,None,None,[],[],[],2
BEM2047,Organisational Behaviour ,30.0,1 and 2,https://business-school.exeter.ac.uk/module/?mod_code=BEM2047&ay=2023/4&sys=0,,None,None,[],[],[],2
BEM2048,International Business,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEM2048&ay=2023/4&sys=0,,None,None,[],[],[],2
BEM2049,Confronting the Past in British Business,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEM2049&ay=2023/4&sys=0,,None,None,[],[],[],2
BEM2054,Acting Entrepreneurially,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEM2054&ay=2023/4&sys=0,,None,None,[],[],[],2
BEM3022,Purchasing and Supply Management,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEM3022&ay=2023/4&sys=0,,None,None,[],[],[],3
